"State","Department.Agency","Adopted.Adjusted.Estimated.Actual.etc.","Adopted.Actual...Simplified","LEA FY 2018-19","LEA FY 2019-20","LEA FY 2020-21","LEA FY 2021-22","Total_FY19","Total_FY20","Total_FY21","Total_FY22","LEA_19_22_Chg","LEA_19_20_Chg","LEA_20_21_Chg","LEA_21_22_Chg"
"Maryland","Baltimore Police Department","Budget","Adopted",509618142,536376477,527963783,555084016,3499279441,3555401780,3847228235,4331049486,8.92155719212995,5.25066374108793,-1.56843082438158,5.13676010992595
"Louisiana","Baton Rouge Police Department","Actual","Actual",92348460,77068450,NA,NA,NA,NA,NA,NA,NA,-16.546036609598,NA,NA
"Louisiana","Baton Rouge Police Department","Budget ","Adopted",93530380,93530380,93530380,95882070,926223502,1004693210,982114922,1031717386,2.51435950543556,0,0,2.51435950543556
"Idaho","Boise Police Department ","Adopted","Adopted",66867208,70006493,71179598,77227676,752804194,764680965,730492755,661838623,15.4940939062388,4.69480496329382,1.67570885174894,8.49692632430995
"Idaho","Boise Police Department ","Actual","Actual",65196338,67052181,NA,NA,NA,NA,NA,NA,NA,2.84654484735017,NA,NA
"Massachusetts","Boston Police Department","Actual","Actual",432197943,449730821,NA,NA,NA,NA,NA,NA,NA,4.05667779867245,NA,NA
"Massachusetts","Boston Police Department","Approp/Projected","",NA,434372765,452579626,NA,NA,NA,NA,NA,NA,NA,4.19152913511969,NA
"Massachusetts","Boston Police Department","Budget","Adopted",434106350,431731293,435641128,428227693,3.29e+09,3.49e+09,3.61e+09,3.75e+09,-1.35419742189903,-0.54711408851771,0.905617698645718,-1.70172982381957
"New York","Buffalo Police Department","Revised","",80234141,79001264,76158760,NA,NA,NA,NA,NA,NA,-1.53659898969941,-3.59804876033376,NA
"New York","Buffalo Police Department","Actual","Actual",78820369,74884263,NA,NA,NA,NA,NA,NA,NA,-4.99376753742424,NA,NA
"New York","Buffalo Police Department","Adopted","Adopted",79790263,78385144,74541474,73108100,1530342300,1523020349,1563376583,1594103992,-8.37465970001879,-1.76101562668117,-4.90356948250296,-1.92292145980371
"New Jersey","Camden County Police Department","Actual","",41351530,52518125,NA,NA,376597431,542282240,423777645,418578457,NA,27.0040673222974,NA,NA
"Illinois","Champaign Police Department","Budget","Adopted",25649437,26991802,27967998,29139933,143970000,149260000,137900000,145650000,13.6084702365982,5.23350668476661,3.61663885945814,4.19027132367501
"Arizona","Chandler Police Department ","Adopted","Adopted",87482081,91348133,84957575,88321063,875686342,927046172,931336929,1058074338,0.959032970420537,4.41925015478313,-6.99582770892537,3.95902072299027
"Arizona","Chandler Police Department ","Actual","Actual",80379917,82430785,NA,NA,NA,NA,NA,NA,NA,2.55146817332494,NA,NA
