"State","Department.Agency","Adopted.Adjusted.Estimated.Actual.etc.","Adopted.Actual...Simplified","LEA FY 2018-19","LEA FY 2019-20","LEA FY 2020-21","LEA FY 2021-22","Total_FY19","Total_FY20","Total_FY21","Total_FY22","LEA_19_22_Chg","LEA_19_20_Chg","LEA_20_21_Chg","LEA_21_22_Chg"
"California","Oakland Police Department","Actual","Actual",288322985,350872437,NA,NA,NA,NA,NA,NA,NA,21.6942301703765,NA,NA
"Oklahoma","Oklahoma City Police Department ","Actual","Actual",196574645,NA,196621082,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oklahoma","Oklahoma City Police Department ","Adopted","Adopted",208415342,214107429,226051993,237988245,1563885866,1554632069,1658405738,1648566649,14.1894078987717,2.73112667492588,5.57877139330836,5.28031265798218
"Nebraska","Omaha Police Department ","Appropriated","Adopted",164729279,159838743,164584331,169966576,1043638689,1121093114,1231869944,1216335418,3.17933583622375,-2.96883227419456,2.96898480989681,3.27020498688906
"Nebraska","Omaha Police Department ","Actual","Actual",152974360,166778903,NA,NA,NA,NA,NA,NA,NA,9.02408939641911,NA,NA
"California","Orange County Sheriff's Department","Adopted","Adopted",975777340,1020554404,1123467847,1251828815,6472300000,6833200000,7569400000,7772200000,28.2904166436167,4.58886081531674,10.0840722059145,11.4254242649456
"Florida","Orlando Police Department","Adopted","Adopted",185813177,195747425,197481264,195334174,1273470803,1362715923,1440937488,1429189107,5.12396222577907,5.34636356817687,0.885753158694169,-1.08723731887801
"Florida","Orlando Police Department","Actual","Actual",185405091,187520010,NA,NA,NA,NA,NA,NA,NA,1.14070168655725,NA,NA
"Illinois","Peoria Police Department","Forecasted","",NA,26573482,27459455,27971100,NA,NA,NA,288909732,NA,NA,3.33404933534868,1.86327441677193
"Illinois","Peoria Police Department","Revised","",25911032,26671491,27218420,NA,203792629,186429819,204563745,NA,NA,2.93488503275362,2.05061276851752,NA
"Pennsylvania","Philadelphia Police Department","Adopted ","Adopted",709492944,741165097,727007734,729347734,9284897000,8630053000,10507028000,11846324000,2.79844784474699,4.46405468410127,-1.9101497166157,0.321867277411935
"Pennsylvania","Philadelphia Police Department","Estimated","",711140370,742947000,727007734,NA,NA,NA,NA,NA,NA,4.47262331626596,-2.14541091087251,NA
"Pennsylvania","Philadelphia Police Department","Actual","Actual",727904939,774398600,NA,NA,NA,NA,NA,NA,NA,6.38732594174636,NA,NA
"Arizona","Phoenix Police Department","Budget/Council Allowance","Adopted",687794439,721210722,745289020,786707948,4.42e+09,4.55e+09,5.02e+09,5.627e+09,14.3812603579367,4.85846949396461,3.33859401496807,5.55743166590593
"Arizona","Phoenix Police Department","Actual","Actual",669945457,708888212,NA,NA,NA,NA,NA,NA,NA,5.81282469984717,NA,NA
"Arizona","Phoenix Police Department","Estimated","",688073334,715227129,719962353,NA,NA,NA,NA,NA,NA,3.94635188696326,0.662058779372727,NA
"Pennsylvania","Pittsburgh Police Department","Budget","Adopted",104545326,114787000,115132994,120449711,574901207,608100046,564967492,615059557,15.2129087052634,9.79639587139457,0.301422634967374,4.61789172268029
"Pennsylvania","Pittsburgh Police Department","Actual","Actual",105878343,125402541,NA,NA,NA,NA,NA,NA,NA,18.440218695149,NA,NA
"Texas","Plano Police Department ","Actual ","Actual",76192300,71202244,NA,NA,NA,NA,NA,NA,NA,-6.5492917263293,NA,NA
"Texas","Plano Police Department ","Budget","Adopted",76476489,78554485,78978173,82370706,317349631,333973522,327736332,353733563,7.70722751145126,2.71716971734934,0.539355582306981,4.29553238715715
"Oregon","Portland Police Department","Adopted","Adopted",226807496,238190326,229526742,230043026,5.15e+09,5.6e+09,5.6e+09,5.89e+09,1.42655337987595,5.01871860531453,-3.63725267330966,0.224934138611178
"North Carolina","Raleigh Police Department","Adopted","Adopted",105146996,109694903,111650973,116507256,971378848,1036955770,1010644940,1069833785,10.8041698119459,4.32528476610021,1.78319133022981,4.34952143229419
"North Carolina","Raleigh Police Department","Actual","Actual",103055234,107798273,NA,NA,NA,NA,NA,NA,NA,4.60242417187661,NA,NA
"Nevada","Reno Police Department ","Budgeted","Adopted",69850267,74804270,85327231,91348674,473730617,431825595,516926600,512204188,30.7778451297831,7.09231791483345,14.0673266379045,7.05688316546918
"Nevada","Reno Police Department ","Actual","Actual",77416254,90413649,NA,NA,NA,NA,NA,NA,NA,16.7889743153938,NA,NA
"Virginia","Richmond Police Department ","Adopted","Adopted",95387568,96930895,96371697,95816200,2029126221,2020105942,2101344349,2071757562,0.449358348249323,1.61795402939721,-0.576903782844469,-0.57641093525623
"Virginia","Richmond Police Department ","Actual","Actual",95403743,100381316,95084710,NA,NA,NA,NA,NA,NA,5.21737705825651,-5.27648591496848,NA
"California","Riverside County Sheriff's Department","Adopted","Adopted",710200558,741570559,825441024,898134698,5572900000,6098100000,6796564463,6883337226,26.4621222671582,4.41706228566495,11.3098428709331,8.80664661513116
"California","Riverside County Sheriff's Department","Estimated","",722666143,774507763,868389739,NA,NA,NA,NA,NA,NA,7.17366110231623,12.1215022605267,NA
"California","Riverside County Sheriff's Department","Actual","Actual",719144388,795311294,NA,NA,NA,NA,NA,NA,NA,10.5913231433018,NA,NA
"New York","Rochester Police Department","Approved","Adopted",90583100,98618600,95116000,90802800,539646900,552047000,529659100,560867400,0.242539723193399,8.87086001693473,-3.55166266809709,-4.53467345136465
"New York","Rochester Police Department","Actual","Actual",97165742,99372687,NA,NA,NA,NA,NA,NA,NA,2.27132007081261,NA,NA
"California","Sacramento Police Department ","Approved","Adopted",147251730,150318120,157502833,211306620,1.1e+09,1.2e+09,1.3e+09,1.3e+09,43.5002631208475,2.08241356485251,4.77967193841967,34.1605201475963
"California","Sacramento Police Department ","Actual ","Actual",131223491,135326651,NA,NA,NA,NA,NA,NA,NA,3.12684868290846,NA,NA
"Texas","San Antonio Police Department ","Actual","Actual",451264058,467042555,NA,NA,NA,NA,NA,NA,NA,3.49651090537328,NA,NA
"Texas","San Antonio Police Department ","Adopted","Adopted",456335077,479091284,486506918,501294814,2840587221,2.9e+09,2.9e+09,3.1e+09,9.85235176212413,4.98673193163277,1.54785408285574,3.03960652004541
"California","San Bernardino County Sheriff's Department","Adopted ","Adopted",696638894,692836711,769530381,800557029,6303570543,6943039693,7054670996,7853861783,14.9170733783348,-0.545789652680518,11.0695159165722,4.03189383630066
"California","San Bernardino County Sheriff's Department","Actual ","Actual",689324212,712215035,759207428,NA,NA,NA,NA,NA,NA,3.32076294456345,6.59806247982395,NA
"California","San Bernardino County Sheriff's Department","Final","",713004051,757078809,785723304,NA,NA,NA,NA,NA,NA,6.18155786607165,3.78355524675635,NA
"California","San Diego Police Department","Adopted","Adopted",477714227,547063945,580707839,601168878,3276212615,3633742006,3654361964,3858448205,25.8427829908444,14.5169882076801,6.14990154395936,3.52346526529324
"California","San Diego Police Department","Actual","Actual",502042831,568843969,572409551,NA,NA,NA,NA,NA,NA,13.3058643357064,0.626811954474637,NA
"California","San Francisco Police Department","Original","Adopted",629838175,692322316,667891102,657406273,11039195070,12313688231,13614632249,13248709511,4.37701287318762,9.92066589167924,-3.52887859243873,-1.56984109664033
"California","San Francisco Police Department","Proposed","",600143155,695718415,674194131,661656289,10001065614,12260865817,11955078089,12605311256,10.2497434966162,15.9254103298071,-3.09382122650872,-1.85967830681101
"California","San Jose Police Department","Adopted","Adopted",423398132,464466750,471530192,498072611,3728246392,4661164572,4785836682,5119345503,17.6369410623663,9.69976362578756,1.52076375757791,5.62899671120105
"California","San Jose Police Department","Proposed","",419038951,453441003,449177442,471314386,NA,NA,NA,NA,12.4750777643103,8.20975041052926,-0.940268077168134,4.92832941508225
"California","Santa Ana Police Department ","Adopted","Adopted",142554042,144227570,148184910,152331070,658978194,783581650,772091950,824804410,6.85847125962237,1.17396039882194,2.74381659484383,2.79796370629101
"California","Santa Ana Police Department ","Actual","Actual",137287202,139712330,NA,NA,NA,NA,NA,NA,NA,1.76646327164567,NA,NA
"Arizona","Scottsdale Police Department ","Adopted","Adopted",104362989,109075095,110418268,155877134,1177467134,1541820842,1540408509,1785336559,49.3605496484966,4.5151121534091,1.23142042645024,41.1696966664973
"Washington","Seattle Police Department","Actual","Actual",398769531,401829106,NA,NA,NA,NA,NA,NA,NA,0.767253955518482,NA,NA
"Washington","Seattle Police Department","Proposed","",NA,401715774,359751039,NA,NA,NA,NA,NA,NA,NA,-10.4463747047185,NA
"Washington","Seattle Police Department","Adopted","Adopted",398561697,409111750,362988810,355487009,5894667000,6509732000,6640756000,7143467000,-10.8075332688078,2.64703133276753,-11.2739221007463,-2.06667555399297
"Washington","Spokane Police Department ","Adopted","Adopted",60855066,64018815,64602236,69069669,1090433065,1113729539,996135499,1010122465,13.4986346083332,5.19882601063977,0.911327396484924,6.91529160074274
"Washington","Spokane Police Department ","Actual","Actual",60552719,66240009,NA,NA,NA,NA,NA,NA,NA,9.39229500164972,NA,NA
"Missouri","St. Louis Police Department","Proposed","",NA,142562923,149486120,134558761,NA,NA,NA,NA,NA,NA,4.85623951467381,-9.9857826265074
"Missouri","St. Louis Police Department","Actual","Actual",134145325,133820586,134665342,NA,NA,NA,NA,NA,NA,-0.24207999794253,0.631260126151293,NA
"Missouri","St. Louis Police Department","Adopted","Adopted",136854706,137616248,129272700,133642084,1115999766,1149339109,1110404405,1153649359,-2.34746914731599,0.556460221397136,-6.06290908323558,3.37997427144324
"Minnesota","St. Paul Police Department ","Actual","Actual",118580527,122558186,NA,NA,NA,NA,NA,NA,NA,3.35439477343527,NA,NA
"Minnesota","St. Paul Police Department ","Adopted","Adopted",118766683,125998472,122059667,128738012,612193014,636405002,633235558,741325651,8.39572912885005,6.08907213481747,-3.12607362413093,5.47137737152765
"Florida","St. Petersburg Police Department ","Actual ","Actual",114742847,117308049,NA,NA,NA,NA,NA,NA,NA,2.23560951036887,NA,NA
"Florida","St. Petersburg Police Department ","Adopted ","Adopted",111787884,115755999,116781019,124886519,717394479,640798937,670898674,711215762,11.7174013241006,3.54968253983589,0.885500543259101,6.94076834523939
"California","Stockton Police Department ","Adopted","Adopted",130394165,135689455,143500433,152928298,709419235,759413058,787559017,991770073,17.2815501368485,4.06098693143209,5.7565107030609,6.56992094232914
"New York","Suffolk County Sheriff","Adopted ","Adopted",137635064,135323083,124105286,137633602,3112822125,3230490192,3196955825,3687426216,-0.00106222931679677,-1.67979069635918,-8.28964043037654,10.9006767044556
"New York","Suffolk County Sheriff","Actual ","Actual",136199405,134885584,NA,NA,NA,NA,NA,NA,NA,-0.964630498936467,NA,NA
"New York","Suffolk County Sheriff","Recommended","",137635064,136323083,124105286,147373516,NA,NA,NA,NA,7.07556033831611,-0.953231656142507,-8.96238313507038,18.7487823846601
"New York","Suffolk County Sheriff","Requested","",141713182,137284997,132199690,138750763,NA,NA,NA,NA,-2.09043291399667,-3.12475165507186,-3.70419718915097,4.95543749005765
"Florida","Tampa Police Department ","Adopted","Adopted",NA,NA,NA,195974403,1028208183,1041578465,1376630839,1802092727,NA,NA,NA,NA
"Florida","Tampa Police Department ","Actual ","Actual",176664184,176753703,NA,NA,NA,NA,NA,NA,NA,0.050671844158293,NA,NA
"Ohio","Toledo Police Department ","Proposed","",NA,NA,NA,83707180,NA,NA,NA,890082734,NA,NA,NA,NA
"Ohio","Toledo Police Department ","Amended","",NA,NA,97330651,NA,NA,NA,1438403814,NA,NA,NA,NA,NA
"Ohio","Toledo Police Department ","Actual ","Actual",86682954,73436952,NA,NA,1914873281,1627515197,NA,NA,NA,-15.2809766958334,NA,NA
"Oklahoma","Tulsa Police Department ","Budget","Adopted",114842000,121682000,122558000,122698000,867298000,854532000,840403000,799449000,6.84070287873774,5.95600912558123,0.719909271708223,0.114231629106219
"Arizona","Tuscon Police Department ","Adopted","Adopted",183019480,193274430,210091880,186778960,1502819240,1556402430,1728875330,1862342690,2.05414199625089,5.60320136413894,8.70133209033394,-11.0965354777157
"Arizona","Tuscon Police Department ","Actual","Actual",171358325,170101184,178111529,NA,NA,NA,NA,NA,NA,-0.733632871353055,4.70916475219832,NA
"California","Ventura County Sheriff's Department","Adopted","Adopted",291754475,302575469,313483717,298601554,2237605278,2309152737,2450244902,2548007506,2.3468634028664,3.70893848329147,3.60513297262707,-4.74734800978515
"California","Ventura County Sheriff's Department","Actual ","Actual",298659473,327286355,365373133,NA,NA,NA,NA,NA,NA,9.58512439349279,11.6371420372841,NA
"Virginia","Virginia Beach Police Department ","Actual","Actual",99188135,102840121,105142652,NA,NA,NA,NA,NA,NA,3.68187787783287,2.23894232874347,NA
"Virginia","Virginia Beach Police Department ","Adopted","Adopted",102865201,102960533,106129479,107691627,2009080703,2077926082,2086059932,2296760413,4.69199102619748,0.0926766283186478,3.077825947152,1.47192656999664
"Virginia","Virginia Beach Police Department ","Adjusted","",103997459,104396374,NA,NA,NA,NA,NA,NA,NA,0.38358148731307,NA,NA
"North Carolina","Wake County Sheriff's Department","Adopted","Adopted",92543343,98802470,97103645,99927185,1.3e+09,1.47e+09,1456796000,1565900000,7.97879324502034,6.76345461174879,-1.71941551663638,2.90775902387598
"North Carolina","Wake County Sheriff's Department","Amended","",94027979,100560041,97310051,NA,NA,NA,NA,NA,NA,6.94693438003171,-3.23189009041872,NA
"North Carolina","Wake County Sheriff's Department","Actual","Actual",96520028,101609568,NA,NA,NA,NA,NA,NA,NA,5.27304032692572,NA,NA
"District Of Columbia","Washington D.C. Metropolitian Police","Approved","Adopted",553542783,559526918,545686633,516793022,1.2295e+10,1.3398e+10,1.456e+10,1.5417e+10,-6.63901005100811,1.08106097374591,-2.47356910896644,-5.29490906551123
"District Of Columbia","Washington D.C. Metropolitian Police","Proposed","",553692783,NA,578069493,514176097,NA,NA,NA,NA,-7.13693355110969,NA,NA,-11.0528918709087
"District Of Columbia","Washington D.C. Metropolitian Police","Actual ","Actual",591313726,621491859,NA,NA,NA,NA,NA,NA,NA,5.10357390215562,NA,NA
"Kansas","Wichita Police Department ","Actual","Actual",92526169,96656583,NA,NA,NA,NA,NA,NA,NA,4.46404951662918,NA,NA
"Kansas","Wichita Police Department ","Adopted","Adopted",87939074,94177773,99692913,102486918,558022028,562305947,584733774,587993887,16.5430943700863,7.0943423852746,5.85609515315254,2.80261145544017
"Delaware","Wilmington Police Department","Adopted","Adopted",59275551,59012703,59033541,60326725,251519968,258426944,256008341,266842966,1.77336858496684,-0.443434089714324,0.035311041421031,2.19059195517342
"Delaware","Wilmington Police Department","Actual","Actual",60163058,60835672,NA,NA,NA,NA,NA,NA,NA,1.11798505986847,NA,NA
"North Carolina","Winston-Salem Police Department ","Adopted","Adopted",75015930,78167060,78711550,80294800,641031860,609824830,594072850,652404430,7.0369986748148,4.20061445615618,0.696572187824385,2.01145829296971
"North Carolina","Winston-Salem Police Department ","Actual","Actual",74840788,78106839,NA,NA,NA,NA,NA,NA,NA,4.36399867943667,NA,NA
"North Carolina","Winston-Salem Police Department ","Amended","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
